year_month,billedqty,sku,grossamt,pri_all_qty,pri_ws_amt,sec_all_qty,sec_rtl_amt,sec_rtl_qty,sec_ws_amt,sec_ws_qty,nature_of_business,skucode,pri_all_amt,sec_all_amt
201704,7797,Vatika Health Shampoo 5ml,89275.65,0.0,0.0,288.0,0.0,4860.0,0.0,120.0,RTL,FC125005,0.0,0.0
201705,11694,Vatika Health Shampoo 5ml,133896.3,0.0,0.0,103.05,345.2,7280.0,0.0,180.0,RTL,FC125005,0.0,0.0
201706,10422,Vatika Health Shampoo 5ml,119331.9,0.0,0.0,146.33,163.84,7928.0,27.48,180.0,RTL,FC125005,0.0,0.0
201707,35962,Vatika Health Shampoo 5ml,368316.27,23764.48,0.0,5583.98,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201708,40310,Vatika Health Shampoo 5ml,413120.52,27059.86,0.0,6229.98,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201709,23770,Vatika Health Shampoo 5ml,243634.65,16354.96,0.0,1740.45,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201710,9313,Vatika Health Shampoo 5ml,95458.14,6763.97,13.53,184.5,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201711,9636,Vatika Health Shampoo 5ml,103220.96,6637.06,0.0,298.44,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201712,22251,Vatika Health Shampoo 5ml,247219.09,14845.53,0.0,1233.27,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201801,11499,Vatika Health Shampoo 5ml,127753.89,8412.28,0.0,339.97,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201802,10589,Vatika Health Shampoo 5ml,117643.79,7556.24,0.0,139.99,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201803,7243,Vatika Health Shampoo 5ml,80469.73,5428.08,0.0,139.99,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201804,12288,Vatika Health Shampoo 5ml,136519.68,9467.99,0.0,306.64,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201805,13901,Vatika Health Shampoo 5ml,154440.11,10752.16,0.0,439.96,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201806,12627,Vatika Health Shampoo 5ml,140285.97,9639.9,0.0,333.3,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
201807,12553,Vatika Health Shampoo 5ml,139463.83,9671.9,13.33,279.98,0.0,0.0,0.0,0.0,RTL,FC125005,0.0,0.0
